#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
6.007	463	6.033	488
6.057	432	6.083	467
6.108	402	6.134	445
6.159	374	6.184	427
6.210	351	6.235	411
6.260	331	6.286	399
6.311	319	6.337	391
6.361	312	6.387	389
6.413	311	6.438	391
6.463	319	6.488	398
6.514	332	6.540	411
6.564	351	6.590	426
6.615	375	6.641	445
6.665	403	6.691	464
6.717	432	6.742	487
6.767	463	6.792	508
6.818	492	6.844	530
6.868	519	6.894	548
6.919	543	6.945	564
6.970	562	6.995	575
7.021	574	7.046	584
7.071	579	7.097	586
7.122	578	7.148	584
7.172	571	7.198	577
7.224	557	7.249	566
7.274	537	7.299	551
7.325	512	7.351	533
7.375	485	7.401	513
7.426	455	7.452	491
7.476	425	7.502	469
7.528	396	7.553	449
7.578	369	7.603	430
7.629	347	7.655	413
7.679	330	7.705	401
7.730	320	7.756	393
7.781	314	7.806	389
7.832	316	7.857	392
7.882	325	7.908	397
7.933	339	7.959	409
7.983	359	8.009	424
8.035	383	8.060	442
8.085	411	8.110	463
8.136	440	8.162	485
8.186	469	8.212	506
8.237	498	8.263	528
8.287	524	8.313	546
8.339	546	8.364	562
8.389	562	8.414	574
8.440	573	8.466	582
8.490	577	8.516	585
8.541	575	8.567	583
8.592	566	8.617	577
8.643	551	8.668	568
8.693	530	8.719	552
8.744	505	8.770	535
8.794	478	8.820	514
8.846	449	8.871	493
8.896	419	8.921	471
8.947	392	8.973	450
8.997	366	9.023	432
9.048	346	9.074	415
9.099	330	9.124	403
9.150	321	9.175	394
9.200	317	9.225	391
9.251	321	9.277	391
9.301	330	9.327	398
9.352	346	9.378	408
9.403	366	9.428	423
9.454	391	9.479	440
9.504	419	9.530	461
9.555	447	9.581	482
9.605	476	9.631	504
9.657	504	9.682	525
9.707	528	9.732	544
9.758	549	9.784	561
9.808	563	9.834	573
9.859	571	9.885	581
9.910	575	9.935	585
9.961	570	9.986	585
10.011	560	10.036	579
10.062	544	10.088	568
10.112	523	10.138	554
10.163	498	10.189	537
10.214	469	10.239	517
10.265	441	10.290	495
10.316	413	10.341	473
10.366	387	10.392	451
10.417	363	10.442	433
10.468	344	10.493	416
10.519	331	10.543	403
10.569	323	10.595	394
10.620	321	10.645	389
10.670	325	10.696	390
10.722	337	10.746	396
10.772	353	10.797	406
10.823	374	10.847	420
10.873	399	10.899	438
10.924	426	10.949	458
10.974	454	11.000	480
11.026	482	11.050	502
11.076	508	11.101	523
11.127	531	11.152	543
11.177	550	11.203	560
11.228	562	11.253	573
11.279	569	11.304	582
11.330	571	11.354	586
11.380	565	11.406	586
11.431	554	11.456	581
11.481	537	11.507	571
11.533	515	11.557	558
11.583	491	11.608	540
11.634	463	11.659	519
11.684	436	11.710	497
11.735	409	11.760	475
11.785	383	11.811	453
11.837	362	11.861	433
11.887	344	11.912	416
11.938	332	11.963	402
11.988	325	12.014	392
12.039	325	12.064	387
12.090	332	12.115	387
12.141	343	12.165	393
12.191	360	12.217	403
12.242	381	12.267	418
12.292	406	12.318	435
12.344	433	12.368	456
12.394	460	12.419	478
12.445	487	12.470	500
12.495	512	12.521	523
12.546	532	12.571	544
12.596	549	12.622	561
12.648	560	12.672	575
12.698	567	12.723	584
12.749	566	12.774	589
12.799	559	12.825	589
12.850	547	12.875	584
12.901	530	12.926	574
12.952	509	12.976	559
13.002	484	13.028	542
13.053	457	13.078	521
13.103	431	13.129	498
13.155	405	13.179	475
13.205	381	13.230	453
13.256	361	13.281	432
13.306	345	13.332	415
13.357	335	13.383	400
13.407	329	13.433	389
13.459	331	13.484	385
13.509	338	13.534	384
13.560	350	13.586	390
13.610	367	13.636	400
13.661	389	13.687	415
13.712	413	13.737	433
13.763	439	13.788	455
13.813	465	13.839	477
13.864	491	13.890	501
13.914	514	13.940	524
13.966	533	13.991	544
14.016	548	14.041	563
14.067	558	14.093	577
14.117	562	14.143	587
14.168	560	14.194	592
14.219	553	14.244	592
14.270	540	14.295	586
14.320	522	14.345	576
14.371	502	14.397	560
14.421	477	14.447	543
14.472	451	14.498	521
14.523	426	14.548	499
14.574	401	14.599	474
14.624	379	14.650	451
14.675	361	14.701	430
14.725	347	14.751	412
14.777	337	14.802	397
14.827	335	14.852	386
14.878	336	14.904	381
14.928	344	14.954	382
14.979	358	15.005	388
15.030	375	15.055	398
15.081	396	15.106	414
15.131	419	15.156	432
15.182	444	15.208	454
15.232	470	15.258	478
15.283	493	15.309	502
15.334	515	15.359	526
15.385	532	15.410	548
15.435	546	15.461	565
15.486	555	15.512	580
15.536	557	15.562	590
15.588	555	15.613	595
15.638	547	15.663	595
15.689	534	15.715	589
15.739	516	15.765	578
15.790	495	15.816	562
15.841	471	15.866	544
15.892	447	15.917	521
15.942	423	15.967	497
15.993	400	16.019	472
16.043	379	16.069	449
16.094	362	16.120	427
16.145	350	16.170	409
16.196	342	16.221	393
16.246	340	16.272	383
16.297	343	16.323	378
16.347	352	16.373	379
16.399	364	16.424	385
16.449	381	16.474	396
16.500	402	16.526	413
16.550	425	16.576	432
16.601	449	16.627	455
16.652	473	16.677	479
16.703	496	16.728	503
16.753	514	16.779	528
16.804	531	16.830	550
16.854	543	16.880	569
16.905	551	16.931	584
16.956	552	16.981	594
17.007	549	17.032	598
17.058	541	17.083	597
17.108	527	17.134	591
17.159	510	17.184	580
17.210	489	17.235	563
17.261	467	17.285	543
17.311	443	17.337	520
17.362	421	17.387	496
17.412	399	17.438	470
17.464	380	17.488	447
17.514	364	17.539	424
17.565	353	17.590	405
17.615	346	17.641	390
17.666	344	17.691	380
17.716	348	17.742	375
17.768	357	17.792	375
17.818	370	17.843	383
17.869	388	17.894	395
17.919	408	17.945	412
17.970	430	17.995	432
18.021	452	18.046	457
18.072	475	18.096	482
18.122	496	18.148	507
18.173	514	18.198	531
18.223	529	18.249	554
18.275	540	18.299	573
18.325	547	18.350	588
18.376	547	18.401	597
18.426	543	18.452	601
18.477	534	18.502	600
18.527	521	18.553	592
18.579	504	18.603	581
18.629	484	18.654	563
18.680	462	18.705	543
18.730	441	18.756	518
18.781	419	18.806	493
18.832	399	18.857	467
18.883	381	18.907	442
18.933	367	18.959	419
18.984	356	19.009	400
19.034	351	19.060	385
19.086	351	19.110	375
19.136	355	19.161	372
19.187	364	19.212	373
19.237	377	19.263	382
19.288	393	19.313	393
19.339	413	19.364	413
19.390	434	19.414	435
19.440	455	19.465	459
19.491	476	19.516	485
19.541	496	19.567	512
19.592	513	19.617	536
19.643	526	19.668	559
19.694	536	19.718	577
19.744	541	19.770	592
19.795	541	19.820	601
19.845	537	19.871	604
19.897	528	19.921	602
19.947	515	19.972	593
19.998	498	20.023	581
20.048	479	20.074	562
20.099	458	20.125	539
20.150	439	20.175	514
20.201	418	20.226	488
20.251	399	20.276	462
20.302	384	20.328	437
20.352	370	20.378	414
20.403	362	20.429	396
20.454	356	20.479	383
20.505	357	20.530	373
20.555	361	20.581	370
20.606	370	20.632	373
20.656	382	20.682	382
20.708	398	20.733	396
20.758	417	20.783	415
20.809	436	20.835	437
20.859	456	20.885	463
20.910	476	20.936	489
20.961	494	20.986	516
21.012	510	21.037	540
21.062	522	21.087	563
21.113	531	21.139	582
21.163	536	21.189	595
21.214	535	21.240	604
21.265	531	21.290	606
21.316	522	21.341	603
21.366	510	21.392	594
21.417	494	21.443	579
21.467	477	21.493	560
21.519	457	21.544	536
21.569	437	21.594	510
21.620	419	21.646	484
21.670	401	21.696	457
21.721	386	21.747	432
21.772	374	21.797	409
21.823	366	21.848	391
21.873	362	21.899	378
21.924	362	21.950	369
21.974	367	22.000	368
22.025	375	22.051	372
22.076	387	22.101	382
22.127	402	22.152	397
22.177	420	22.203	417
22.228	438	22.254	441
22.278	457	22.304	467
22.330	476	22.355	494
22.380	493	22.405	521
22.431	507	22.457	546
22.481	519	22.507	568
22.532	526	22.558	586
22.583	530	22.608	599
22.634	530	22.659	607
22.684	526	22.710	608
22.735	517	22.761	603
22.785	505	22.811	593
22.836	490	22.862	577
22.887	473	22.912	557
22.938	455	22.963	532
22.988	437	23.014	506
23.039	420	23.065	479
23.089	403	23.115	451
23.141	389	23.166	427
23.191	378	23.216	405
23.242	371	23.268	387
23.292	367	23.318	374
23.343	368	23.369	367
23.394	372	23.419	366
23.445	380	23.470	371
23.495	392	23.521	383
23.546	405	23.572	399
23.596	422	23.622	421
23.647	440	23.673	445
23.698	457	23.723	472
23.749	475	23.774	500
23.799	490	23.825	528
23.850	504	23.876	551
23.900	514	23.926	574
23.952	522	23.977	590
24.002	525	24.027	602
